run_directory,target_id,model,arm,run_id,candidate_status,parse_recoverable,strict_output_compliant,schema_valid,provenance_valid,input_tokens,output_tokens,total_tokens,cache_hit_tokens,cache_miss_tokens,turns,tool_calls,files_read,source_lines_read,duration_seconds,notes
baseline-pro/20260904-212521-714450-baseline-batch/20260904-212521-715386-baseline-01,target-v6,deepseek-v4-pro,baseline,baseline-01,invalid_output,False,False,False,False,1279139,18159,1297298,1102592,176547,24,32,12,4958,341.592,
guided-flash/20260904-212713-353085-Q-LOG-2,target-v6,deepseek-v4-flash,guided,Q-LOG-2,candidate_found,True,False,True,True,1097706,43917,1141623,1032448,65258,21,32,7,3220,388.601,
guided-pro/20260904-212632-721651-Q-LOG-2,target-v6,deepseek-v4-pro,guided,Q-LOG-2,candidate_found,True,True,True,True,1055498,16355,1071853,909568,145930,24,28,9,4084,301.889,
