run_directory,target_id,model,arm,run_id,candidate_status,parse_recoverable,strict_output_compliant,schema_valid,provenance_valid,input_tokens,output_tokens,total_tokens,cache_hit_tokens,cache_miss_tokens,turns,tool_calls,files_read,source_lines_read,duration_seconds,notes
baseline-flash/20260905-120857-295370-baseline-batch/20260905-120857-296678-baseline-01,target-v6,deepseek-v4-flash,baseline,baseline-01,candidate_found,True,False,True,True,1064265,52900,1117165,993152,71113,18,28,9,4111,438.387,
baseline-pro/20260905-115146-633572-baseline-batch/20260905-115146-636095-baseline-01,target-v6,deepseek-v4-pro,baseline,baseline-01,candidate_found,True,True,True,True,966615,30990,997605,832256,134359,24,28,8,4039,555.281,
guided-flash/20260905-120907-239872-Q-LOG-2,target-v6,deepseek-v4-flash,guided,Q-LOG-2,candidate_found,True,False,True,True,963577,55100,1018677,891008,72569,19,25,6,3518,461.849,
guided-pro/20260905-115155-651560-Q-LOG-2,target-v6,deepseek-v4-pro,guided,Q-LOG-2,candidate_found,True,True,True,True,850963,17385,868348,738688,112275,24,26,8,3122,296.878,
